filename,scenario,town,route,weather,sha256,size,priority_rank,priority_score,weakness_reasons,target_abilities,table2_abilities
VanillaNonSignalizedTurnEncounterStopsign_Town12_Route16551_Weather18.tar.gz,VanillaNonSignalizedTurnEncounterStopsign,Town12,16551,18,1fc2d66f3f4f84e951ae5f6a1d83af83f0a977fdebf24927c8b61e109aad1ef4,180621993,1,8.05,"[""blocked=1"", ""mean_DS=0.000<50"", ""mean_RC=0.000<80"", ""success_rate=0.000<1""]",[],"[""Traffic Sign""]"
VanillaNonSignalizedTurnEncounterStopsign_Town12_Route16552_Weather19.tar.gz,VanillaNonSignalizedTurnEncounterStopsign,Town12,16552,19,185d0b565784ec00ae6174aa479ea925f702e0070cb5a4fef2a398ca106047a9,124094602,1,8.05,"[""blocked=1"", ""mean_DS=0.000<50"", ""mean_RC=0.000<80"", ""success_rate=0.000<1""]",[],"[""Traffic Sign""]"
VanillaNonSignalizedTurnEncounterStopsign_Town12_Route16553_Weather20.tar.gz,VanillaNonSignalizedTurnEncounterStopsign,Town12,16553,20,870a19b85cb64a5fc8b995f1a4f79c5964d4485af447fd4f800a82b6292c82da,149895832,1,8.05,"[""blocked=1"", ""mean_DS=0.000<50"", ""mean_RC=0.000<80"", ""success_rate=0.000<1""]",[],"[""Traffic Sign""]"
VanillaNonSignalizedTurnEncounterStopsign_Town12_Route16556_Weather23.tar.gz,VanillaNonSignalizedTurnEncounterStopsign,Town12,16556,23,bc2398d5a169b768c3a0fa1d14deaa2023c0d70e8d879a420f99bb0283d61d9c,119612890,1,8.05,"[""blocked=1"", ""mean_DS=0.000<50"", ""mean_RC=0.000<80"", ""success_rate=0.000<1""]",[],"[""Traffic Sign""]"
VanillaNonSignalizedTurnEncounterStopsign_Town12_Route16562_Weather3.tar.gz,VanillaNonSignalizedTurnEncounterStopsign,Town12,16562,3,926c5ca1938d37f8bb178f2f5abe081a0f82525b852738edc34f20f4e7029914,143737390,1,8.05,"[""blocked=1"", ""mean_DS=0.000<50"", ""mean_RC=0.000<80"", ""success_rate=0.000<1""]",[],"[""Traffic Sign""]"
VanillaNonSignalizedTurnEncounterStopsign_Town12_Route16564_Weather5.tar.gz,VanillaNonSignalizedTurnEncounterStopsign,Town12,16564,5,adb43fc1e5acfbe261124421ad36cfba1e29d5fc51137f0387b0c9554ad99f33,250064768,1,8.05,"[""blocked=1"", ""mean_DS=0.000<50"", ""mean_RC=0.000<80"", ""success_rate=0.000<1""]",[],"[""Traffic Sign""]"
VanillaNonSignalizedTurnEncounterStopsign_Town12_Route16565_Weather6.tar.gz,VanillaNonSignalizedTurnEncounterStopsign,Town12,16565,6,f31a7d00c5d2711f1c8bf1fc7bded21871f37a9ea5c5356cdbc3dd9a28106eb6,156396031,1,8.05,"[""blocked=1"", ""mean_DS=0.000<50"", ""mean_RC=0.000<80"", ""success_rate=0.000<1""]",[],"[""Traffic Sign""]"
VanillaNonSignalizedTurnEncounterStopsign_Town12_Route16566_Weather7.tar.gz,VanillaNonSignalizedTurnEncounterStopsign,Town12,16566,7,533f52068f5d4fbbe80d463606dc2a2c689db578017e5b242d16c9216cd051a6,71937742,1,8.05,"[""blocked=1"", ""mean_DS=0.000<50"", ""mean_RC=0.000<80"", ""success_rate=0.000<1""]",[],"[""Traffic Sign""]"
VanillaNonSignalizedTurnEncounterStopsign_Town12_Route16567_Weather8.tar.gz,VanillaNonSignalizedTurnEncounterStopsign,Town12,16567,8,0259504042e9d6f02a0556df1dd71cfa2890a2e0dd6e765b2fce2591ec78f3a4,234535642,1,8.05,"[""blocked=1"", ""mean_DS=0.000<50"", ""mean_RC=0.000<80"", ""success_rate=0.000<1""]",[],"[""Traffic Sign""]"
VanillaNonSignalizedTurnEncounterStopsign_Town12_Route16568_Weather9.tar.gz,VanillaNonSignalizedTurnEncounterStopsign,Town12,16568,9,6421ca9f6133c9002f3e40cf7fb23ad141c97e00e71223f5ba7c1d0d38dcb933,94750573,1,8.05,"[""blocked=1"", ""mean_DS=0.000<50"", ""mean_RC=0.000<80"", ""success_rate=0.000<1""]",[],"[""Traffic Sign""]"
VanillaNonSignalizedTurnEncounterStopsign_Town12_Route16569_Weather10.tar.gz,VanillaNonSignalizedTurnEncounterStopsign,Town12,16569,10,47f1f697273063001ad3c59985c1c9952d61cba95d39fc5245cf1205755eed10,168464416,1,8.05,"[""blocked=1"", ""mean_DS=0.000<50"", ""mean_RC=0.000<80"", ""success_rate=0.000<1""]",[],"[""Traffic Sign""]"
