filename,source,sampling_weight
AccidentTwoWays_Town12_Route1845_Weather19.tar.gz,base_replay,0.0008
AccidentTwoWays_Town12_Route1848_Weather22.tar.gz,base_replay,0.0008
AccidentTwoWays_Town13_Route1125_Weather25.tar.gz,base_replay,0.0008
AccidentTwoWays_Town13_Route1247_Weather6.tar.gz,base_replay,0.0008
AccidentTwoWays_Town13_Route30362_Weather12.tar.gz,base_replay,0.0008
AccidentTwoWays_Town13_Route30400_Weather3.tar.gz,base_replay,0.0008
AccidentTwoWays_Town13_Route30406_Weather10.tar.gz,base_replay,0.0008
AccidentTwoWays_Town13_Route30420_Weather0.tar.gz,base_replay,0.0008
AccidentTwoWays_Town13_Route30454_Weather12.tar.gz,base_replay,0.0008
AccidentTwoWays_Town13_Route30511_Weather26.tar.gz,base_replay,0.0008
AccidentTwoWays_Town13_Route30523_Weather12.tar.gz,base_replay,0.0008
AccidentTwoWays_Town13_Route30540_Weather6.tar.gz,base_replay,0.0008
AccidentTwoWays_Town13_Route3414_Weather3.tar.gz,base_replay,0.0008
Accident_Town12_Route1757_Weather9.tar.gz,base_replay,0.0008
Accident_Town12_Route19074_Weather15.tar.gz,base_replay,0.0008
Accident_Town12_Route19107_Weather22.tar.gz,base_replay,0.0008
Accident_Town12_Route19142_Weather5.tar.gz,base_replay,0.0008
Accident_Town12_Route19155_Weather18.tar.gz,base_replay,0.0008
Accident_Town12_Route19189_Weather0.tar.gz,base_replay,0.0008
Accident_Town12_Route19218_Weather3.tar.gz,base_replay,0.0008
Accident_Town12_Route19281_Weather14.tar.gz,base_replay,0.0008
BlockedIntersection_Town03_Route27350_Weather2.tar.gz,base_replay,0.0008
BlockedIntersection_Town03_Route27355_Weather8.tar.gz,base_replay,0.0008
BlockedIntersection_Town03_Route27380_Weather10.tar.gz,base_replay,0.0008
BlockedIntersection_Town03_Route27400_Weather7.tar.gz,base_replay,0.0008
BlockedIntersection_Town05_Route27516_Weather8.tar.gz,base_replay,0.0008
BlockedIntersection_Town11_Route27547_Weather18.tar.gz,base_replay,0.0008
BlockedIntersection_Town12_Route12465_Weather14.tar.gz,base_replay,0.0008
BlockedIntersection_Town12_Route12476_Weather25.tar.gz,base_replay,0.0008
BlockedIntersection_Town12_Route12485_Weather8.tar.gz,base_replay,0.0008
BlockedIntersection_Town12_Route12535_Weather6.tar.gz,base_replay,0.0008
BlockedIntersection_Town12_Route12570_Weather15.tar.gz,base_replay,0.0008
BlockedIntersection_Town12_Route12586_Weather5.tar.gz,base_replay,0.0008
BlockedIntersection_Town12_Route12595_Weather14.tar.gz,base_replay,0.0008
BlockedIntersection_Town12_Route12599_Weather18.tar.gz,base_replay,0.0008
BlockedIntersection_Town12_Route12644_Weather11.tar.gz,base_replay,0.0008
BlockedIntersection_Town12_Route12688_Weather3.tar.gz,base_replay,0.0008
BlockedIntersection_Town12_Route12695_Weather10.tar.gz,base_replay,0.0008
BlockedIntersection_Town12_Route12704_Weather19.tar.gz,base_replay,0.0008
BlockedIntersection_Town12_Route12803_Weather14.tar.gz,base_replay,0.0008
