scenario,changed_entries,clips
AccidentTwoWays,2755,6
ParkingExit,1991,5
ParkingCutIn,1636,5
VanillaSignalizedTurnEncounterRedLight,1530,120
OppositeVehicleTakingPriority,1184,2
BlockedIntersection,1047,10
ParkingCrossingPedestrian,914,2
ParkedObstacle,825,3
VanillaSignalizedTurnEncounterGreenLight,758,19
Accident,716,3
TJunction,635,8
SignalizedJunctionLeftTurn,556,12
NonSignalizedJunctionLeftTurn,534,1
ParkedObstacleTwoWays,459,1
HazardAtSideLane,371,1
VanillaNonSignalizedTurnEncounterStopsign,303,1
OppositeVehicleRunningRedLight,292,16
SignalizedJunctionRightTurn,178,12
PedestrianCrossing,157,16
EnterActorFlow,117,12
VehicleTurningRoute,68,7
CrossingBicycleFlow,67,21
SignalizedJunctionLeftTurnEnterFlow,56,23
VehicleTurningRoutePedestrian,39,8
LaneChange,8,1
