scenario,contact_clips,review_clips,excluded_clips
LaneChange,31,18,9
YieldToEmergencyVehicle,58,9,2
CrossingBicycleFlow,7,6,2
NonSignalizedJunctionLeftTurn,10,5,1
SignalizedJunctionLeftTurnEnterFlow,4,4,1
BlockedIntersection,2,2,0
DynamicObjectCrossing,5,2,1
HazardAtSideLane,23,2,0
InterurbanAdvancedActorFlow,4,2,1
MergerIntoSlowTraffic,2,2,2
MergerIntoSlowTrafficV2,4,2,1
NonSignalizedJunctionLeftTurnEnterFlow,2,2,2
PedestrianCrossing,2,2,0
SignalizedJunctionRightTurn,2,2,1
VehicleTurningRoute,3,2,0
Accident,9,1,0
AccidentTwoWays,12,1,0
ConstructionObstacle,6,1,0
ConstructionObstacleTwoWays,3,1,1
EnterActorFlow,1,1,1
HardBreakRoute,1,1,0
HighwayExit,1,1,1
InterurbanActorFlow,2,1,1
InvadingTurn,5,1,0
NonSignalizedJunctionRightTurn,4,1,0
ParkingCutIn,1,1,0
SignalizedJunctionLeftTurn,4,1,1
VanillaNonSignalizedTurnEncounterStopsign,2,1,0
VanillaSignalizedTurnEncounterRedLight,1,1,0
VehicleTurningRoutePedestrian,1,1,1
HazardAtSideLaneTwoWays,1,0,0
OppositeVehicleRunningRedLight,1,0,0
ParkedObstacle,9,0,0
ParkedObstacleTwoWays,3,0,0
ParkingCrossingPedestrian,1,0,0
ParkingExit,8,0,0
TJunction,1,0,0
VehicleOpensDoorTwoWays,1,0,0
