clip,family,component,split,reason_code,reviewer,contact_runs,actor_category,frames,penetration_m,ego_speed_m_s,ego_speed_jump_m_s,frames_after_contact,sweep_verdict,sweep_reasons
ConstructionObstacleTwoWays_Town12_Route1080_Weather14,ConstructionObstacleTwoWays,base,train,EXPERT_COLLISION_VEHICLE,kimminseong,1,vehicle,79-99,0.406,1.2,1.73,103,suspect,DEEP_PENETRATION
CrossingBicycleFlow_Town12_Route1012_Weather23,CrossingBicycleFlow,base,train,EXPERT_COLLISION_VRU,kimminseong,1,bicycle,364-365,0.254,7.07,1.86,61,contact_without_reaction,
CrossingBicycleFlow_Town12_Route1067_Weather1,CrossingBicycleFlow,base,train,EXPERT_COLLISION_VRU,kimminseong,1,bicycle,68-70,0.062,7.81,2.57,63,contact_without_reaction,
DynamicObjectCrossing_Town02_Route13_Weather6,DynamicObjectCrossing,base,train,EXPERT_COLLISION_VRU,kimminseong,1,pedestrian,94-98,0.02,4.09,2.06,115,contact_without_reaction,
EnterActorFlow_Town07_Route349_Weather11,EnterActorFlow,base,train,EXPERT_COLLISION_VEHICLE,kimminseong,1,vehicle,76-87,0.396,8.59,1.77,38,suspect,BOTH_BODIES_REACT|DEEP_PENETRATION
HighwayExit_Town12_Route937_Weather1,HighwayExit,base,train,EXPERT_COLLISION_VEHICLE,kimminseong,1,vehicle,40-42,0.377,8.48,2.19,112,suspect,DEEP_PENETRATION
InterurbanActorFlow_Town12_Route938_Weather2,InterurbanActorFlow,base,train,EXPERT_COLLISION_VEHICLE,kimminseong,1,vehicle,66-67,0.003,4.94,2.0,163,suspect,ACTOR_ONLY_REACTION
InterurbanAdvancedActorFlow_Town13_Route735_Weather7,InterurbanAdvancedActorFlow,base,train,EXPERT_COLLISION_SIDE_CONTACT,kimminseong,1,vehicle,132-134,0.178,10.59,0.57,17,contact_without_reaction,
LaneChange_Town06_Route24277_Weather12,LaneChange,weak,train,EXPERT_COLLISION_SIDE_CONTACT,kimminseong,3,vehicle,97-99,0.176,12.16,0.25,41,contact_without_reaction,
LaneChange_Town06_Route307_Weather21,LaneChange,base,val,EXPERT_COLLISION_SIDE_CONTACT,kimminseong,3,vehicle,132-132,0.0,15.18,0.21,0,suspect,EPISODE_ENDS_AT_CONTACT
LaneChange_Town12_Route17604_Weather1,LaneChange,weak,train,EXPERT_COLLISION_VEHICLE,kimminseong,1,vehicle,206-206,0.096,14.13,0.29,0,suspect,EPISODE_ENDS_AT_CONTACT
LaneChange_Town12_Route17629_Weather0,LaneChange,weak,train,EXPERT_COLLISION_SIDE_CONTACT,kimminseong,1,vehicle,91-99,0.173,10.52,0.4,38,contact_without_reaction,
LaneChange_Town12_Route17690_Weather9,LaneChange,weak,train,EXPERT_COLLISION_VEHICLE,kimminseong,1,vehicle,174-174,0.054,13.32,0.36,1,suspect,EPISODE_ENDS_AT_CONTACT
LaneChange_Town12_Route17707_Weather0,LaneChange,weak,train,EXPERT_COLLISION_SIDE_CONTACT,kimminseong,2,vehicle,199-199,0.044,13.11,0.36,1,suspect,EPISODE_ENDS_AT_CONTACT
LaneChange_Town12_Route2427_Weather3,LaneChange,weak,train,EXPERT_COLLISION_SIDE_CONTACT,kimminseong,1,vehicle,130-134,0.196,15.11,0.64,9,contact_without_reaction,
LaneChange_Town12_Route894_Weather10,LaneChange,base,train,EXPERT_COLLISION_SIDE_CONTACT,kimminseong,2,vehicle,139-141,0.232,12.08,0.22,50,contact_without_reaction,
LaneChange_Town13_Route740_Weather0,LaneChange,base,train,EXPERT_COLLISION_SIDE_CONTACT,kimminseong,3,vehicle,151-158,0.063,12.14,0.26,2,suspect,EPISODE_ENDS_AT_CONTACT
MergerIntoSlowTrafficV2_Town15_Route525_Weather5,MergerIntoSlowTrafficV2,base,train,EXPERT_COLLISION_VEHICLE,kimminseong,1,vehicle,15-16,0.19,0.0,0.03,215,suspect,ACTOR_ONLY_REACTION
MergerIntoSlowTraffic_Town12_Route1003_Weather8,MergerIntoSlowTraffic,base,train,EXPERT_COLLISION_VEHICLE,kimminseong,1,vehicle,38-44,0.467,7.44,2.62,123,suspect,BOTH_BODIES_REACT|DEEP_PENETRATION
MergerIntoSlowTraffic_Town12_Route1004_Weather8,MergerIntoSlowTraffic,base,train,EXPERT_COLLISION_VEHICLE,kimminseong,1,vehicle,47-54,0.513,9.77,1.54,94,suspect,BOTH_BODIES_REACT|DEEP_PENETRATION
NonSignalizedJunctionLeftTurnEnterFlow_Town12_Route949_Weather13,NonSignalizedJunctionLeftTurnEnterFlow,base,val,EXPERT_COLLISION_VEHICLE,kimminseong,1,vehicle,65-66,0.29,9.36,2.52,0,suspect,BOTH_BODIES_REACT|EPISODE_ENDS_AT_CONTACT
NonSignalizedJunctionLeftTurnEnterFlow_Town13_Route661_Weather11,NonSignalizedJunctionLeftTurnEnterFlow,base,train,EXPERT_COLLISION_VEHICLE,kimminseong,2,vehicle,109-113,0.464,1.24,0.95,71,suspect,ACTOR_ONLY_REACTION|DEEP_PENETRATION
