clip,component,split
AccidentTwoWays_Town12_Route1102_Weather10,base,train
AccidentTwoWays_Town12_Route1103_Weather11,base,train
AccidentTwoWays_Town12_Route1104_Weather12,base,train
AccidentTwoWays_Town12_Route1105_Weather13,base,train
AccidentTwoWays_Town12_Route1106_Weather14,base,train
AccidentTwoWays_Town12_Route1107_Weather15,base,train
AccidentTwoWays_Town12_Route1109_Weather9,base,train
AccidentTwoWays_Town12_Route1110_Weather18,base,train
AccidentTwoWays_Town12_Route1111_Weather19,base,train
AccidentTwoWays_Town12_Route1112_Weather20,base,train
AccidentTwoWays_Town12_Route1113_Weather21,base,train
AccidentTwoWays_Town12_Route1114_Weather22,base,train
AccidentTwoWays_Town12_Route1115_Weather23,base,val
AccidentTwoWays_Town12_Route1116_Weather23,base,train
AccidentTwoWays_Town12_Route1117_Weather25,base,train
AccidentTwoWays_Town12_Route1119_Weather1,base,train
AccidentTwoWays_Town12_Route1120_Weather2,base,train
AccidentTwoWays_Town12_Route1121_Weather3,base,train
AccidentTwoWays_Town12_Route1124_Weather18,base,train
AccidentTwoWays_Town12_Route1126_Weather8,base,train
AccidentTwoWays_Town12_Route1127_Weather9,base,train
AccidentTwoWays_Town12_Route1444_Weather0,base,train
AccidentTwoWays_Town12_Route1445_Weather1,base,train
AccidentTwoWays_Town12_Route1446_Weather2,base,train
AccidentTwoWays_Town12_Route1448_Weather5,base,train
AccidentTwoWays_Town12_Route1453_Weather12,base,train
AccidentTwoWays_Town12_Route1454_Weather13,base,train
AccidentTwoWays_Town12_Route1455_Weather14,base,train
AccidentTwoWays_Town12_Route1456_Weather15,base,train
AccidentTwoWays_Town12_Route1458_Weather9,base,train
AccidentTwoWays_Town12_Route1459_Weather18,base,train
AccidentTwoWays_Town12_Route1461_Weather20,base,train
AccidentTwoWays_Town12_Route1463_Weather22,base,train
AccidentTwoWays_Town12_Route1468_Weather2,base,train
AccidentTwoWays_Town12_Route1469_Weather3,base,train
Accident_Town03_Route101_Weather23,base,train
Accident_Town03_Route102_Weather20,base,train
Accident_Town03_Route146_Weather8,base,train
Accident_Town03_Route156_Weather0,base,train
Accident_Town04_Route159_Weather3,base,train
Accident_Town04_Route160_Weather3,base,train
Accident_Town04_Route205_Weather23,base,train
Accident_Town05_Route218_Weather10,base,val
Accident_Town05_Route219_Weather11,base,train
Accident_Town06_Route279_Weather19,base,train
Accident_Town06_Route280_Weather11,base,train
Accident_Town06_Route308_Weather22,base,train
Accident_Town06_Route327_Weather15,base,train
Accident_Town12_Route1108_Weather8,base,train
Accident_Town12_Route1122_Weather3,base,train
Accident_Town12_Route766_Weather12,base,train
Accident_Town12_Route767_Weather13,base,train
Accident_Town12_Route768_Weather14,base,train
Accident_Town12_Route769_Weather15,base,train
Accident_Town12_Route956_Weather20,base,train
Accident_Town12_Route957_Weather21,base,train
Accident_Town13_Route550_Weather3,base,train
Accident_Town13_Route551_Weather5,base,train
Accident_Town13_Route552_Weather6,base,train
Accident_Town15_Route411_Weather21,base,train
Accident_Town15_Route412_Weather22,base,train
Accident_Town15_Route413_Weather23,base,train
Accident_Town15_Route414_Weather23,base,train
BlockedIntersection_Town03_Route134_Weather3,base,train
BlockedIntersection_Town03_Route135_Weather5,base,val
BlockedIntersection_Town03_Route136_Weather6,base,train
BlockedIntersection_Town04_Route193_Weather11,base,train
BlockedIntersection_Town04_Route194_Weather12,base,train
BlockedIntersection_Town04_Route195_Weather13,base,train
BlockedIntersection_Town05_Route247_Weather19,base,train
BlockedIntersection_Town05_Route248_Weather14,base,train
BlockedIntersection_Town05_Route272_Weather12,base,train
BlockedIntersection_Town07_Route351_Weather13,base,train
BlockedIntersection_Town07_Route352_Weather14,base,train
BlockedIntersection_Town07_Route353_Weather15,base,train
BlockedIntersection_Town10HD_Route391_Weather1,base,train
BlockedIntersection_Town12_Route834_Weather2,base,train
BlockedIntersection_Town12_Route835_Weather3,base,train
BlockedIntersection_Town12_Route836_Weather3,base,train
BlockedIntersection_Town12_Route936_Weather0,base,train
BlockedIntersection_Town13_Route615_Weather9,base,train
BlockedIntersection_Town13_Route616_Weather18,base,train
BlockedIntersection_Town13_Route617_Weather19,base,train
BlockedIntersection_Town13_Route618_Weather20,base,train
BlockedIntersection_Town15_Route485_Weather9,base,train
BlockedIntersection_Town15_Route486_Weather18,base,train
ConstructionObstacleTwoWays_Town12_Route1083_Weather9,base,train
ConstructionObstacleTwoWays_Town12_Route1084_Weather5,base,train
ConstructionObstacleTwoWays_Town12_Route1085_Weather6,base,train
ConstructionObstacleTwoWays_Town12_Route1086_Weather20,base,train
ConstructionObstacleTwoWays_Town12_Route1089_Weather23,base,train
ConstructionObstacleTwoWays_Town12_Route1091_Weather12,base,train
ConstructionObstacleTwoWays_Town12_Route1093_Weather1,base,val
ConstructionObstacleTwoWays_Town12_Route1094_Weather2,base,train
ConstructionObstacleTwoWays_Town12_Route1095_Weather3,base,train
ConstructionObstacleTwoWays_Town12_Route1096_Weather3,base,train
ConstructionObstacleTwoWays_Town12_Route1097_Weather5,base,train
ConstructionObstacleTwoWays_Town12_Route1098_Weather6,base,train
ConstructionObstacleTwoWays_Town12_Route1099_Weather7,base,train
ConstructionObstacleTwoWays_Town12_Route1100_Weather14,base,train
ConstructionObstacleTwoWays_Town12_Route1404_Weather26,base,train
ConstructionObstacleTwoWays_Town12_Route1406_Weather26,base,train
ConstructionObstacleTwoWays_Town12_Route1410_Weather26,base,train
ConstructionObstacleTwoWays_Town12_Route1413_Weather26,base,train
ConstructionObstacleTwoWays_Town12_Route1414_Weather26,base,train
ConstructionObstacleTwoWays_Town12_Route1415_Weather26,base,train
ConstructionObstacleTwoWays_Town12_Route1418_Weather26,base,train
ConstructionObstacleTwoWays_Town12_Route1419_Weather26,base,train
ConstructionObstacleTwoWays_Town12_Route1421_Weather26,base,train
ConstructionObstacleTwoWays_Town12_Route1422_Weather26,base,train
ConstructionObstacleTwoWays_Town12_Route1424_Weather26,base,train
ConstructionObstacleTwoWays_Town12_Route1425_Weather26,base,train
ConstructionObstacle_Town03_Route60_Weather8,base,train
ConstructionObstacle_Town03_Route61_Weather9,base,train
ConstructionObstacle_Town03_Route62_Weather10,base,train
ConstructionObstacle_Town03_Route63_Weather11,base,train
ConstructionObstacle_Town04_Route64_Weather12,base,train
ConstructionObstacle_Town04_Route65_Weather13,base,train
ConstructionObstacle_Town04_Route66_Weather14,base,train
ConstructionObstacle_Town04_Route67_Weather15,base,train
