clip,component,entries,reassigned,reassigned_pct,already_ok,no_consensus,target_absent,ego_entries,ego_unverified,ok_before,ok_after,ok_before_pct,ok_after_pct,bbox_changed_frames,affects_ego_changed_entries
AccidentTwoWays_Town12_Route1104_Weather12,base,1060,1060,100.0,0,0,0,0,0,0,1060,0.0,100.0,265,0
AccidentTwoWays_Town12_Route1456_Weather15,base,1048,1048,100.0,0,0,0,0,0,0,1048,0.0,100.0,262,0
AccidentTwoWays_Town12_Route1469_Weather3,base,1064,1064,100.0,0,0,0,0,0,0,1064,0.0,100.0,266,0
ConstructionObstacleTwoWays_Town12_Route1097_Weather5,base,1084,1084,100.0,0,0,0,0,0,0,1084,0.0,100.0,271,0
OppositeVehicleRunningRedLight_Town12_Route809_Weather3,base,632,632,100.0,0,0,0,43,0,0,632,0.0,100.0,158,0
OppositeVehicleRunningRedLight_Town12_Route990_Weather2,base,588,588,100.0,0,0,0,46,0,0,588,0.0,100.0,147,0
ParkingCrossingPedestrian_Town12_Route761_Weather7,base,174,174,100.0,0,0,0,0,0,58,174,33.3,100.0,58,0
ParkingCutIn_Town12_Route1304_Weather9,base,165,165,100.0,0,0,0,0,0,55,165,33.3,100.0,55,0
ParkingCutIn_Town12_Route1314_Weather5,base,165,165,100.0,0,0,0,0,0,55,165,33.3,100.0,55,0
ParkingCutIn_Town12_Route765_Weather11,base,162,162,100.0,0,0,0,0,0,54,162,33.3,100.0,54,0
ParkingExit_Town12_Route787_Weather7,base,168,168,100.0,0,0,0,0,0,56,168,33.3,100.0,56,0
ParkingExit_Town12_Route923_Weather13,base,168,168,100.0,0,0,0,0,0,56,168,33.3,100.0,56,0
PedestrianCrossing_Town13_Route747_Weather19,base,2048,2048,100.0,0,0,0,451,0,0,2048,0.0,100.0,512,0
SignalizedJunctionLeftTurnEnterFlow_Town13_Route720_Weather19,base,692,692,100.0,0,0,0,89,0,0,692,0.0,100.0,173,0
VanillaSignalizedTurnEncounterGreenLight_Town13_Route641_Weather9,base,1476,1476,100.0,0,0,0,308,0,0,1476,0.0,100.0,369,0
