clip,component,main_reason,review_frames,example_frame,example_original_ids,example_predicted_id,images,decision_APPROVE_or_HOLD,completion_sha256
TJunction_Town06_Route305_Weather19,base,bbox_not_verified,445,00042,,117,images/TJunction_Town06_Route305_Weather19/compare/,,a34e2896608dc033c6c5b3091e237dd12f7cc24b716fb824b6bbab4c9e665d74
TJunction_Town05_Route259_Weather0,base,bbox_not_verified,443,00033,,270,images/TJunction_Town05_Route259_Weather0/compare/,,37a05aed9c5851a4e699ccbcf5ab2b7481ea6284cfa2b656027c641f9e880129
TJunction_Town05_Route260_Weather0,base,bbox_not_verified,439,00031,,3244,images/TJunction_Town05_Route260_Weather0/compare/,,043e094255475af30e709643e649f329a2fced3d57ca3c5d646e0723d8893e67
HardBreakRoute_Town05_Route42_Weather8,base,bbox_not_verified,431,00189,,8376,images/HardBreakRoute_Town05_Route42_Weather8/compare/,,0186c3c2887c11929e3de0653b5aaa72e34da853456aba983ed2bfdbf064f6c5
DynamicObjectCrossing_Town01_Route2_Weather2,base,bbox_not_verified,395,00116,,40,images/DynamicObjectCrossing_Town01_Route2_Weather2/compare/,,b433f37d487bc81be6459317fb01310541c9a938d373fc45a3dae7e0457e8c88
EnterActorFlow_Town05_Route271_Weather11,base,bbox_not_verified,300,00450,,4904,images/EnterActorFlow_Town05_Route271_Weather11/compare/,,f96b2691ebd4439edddaf8dadc9c2d24874a16c147cfc6f68943b62f30e6f538
HardBreakRoute_Town06_Route46_Weather20,base,bbox_not_verified,279,00220,,8545,images/HardBreakRoute_Town06_Route46_Weather20/compare/,,365381bfc5ca469c94a86f9d23645de72ba0396a523a90b184062e93ce16ac25
TJunction_Town02_Route97_Weather19,base,bbox_not_verified,172,00035,,1309,images/TJunction_Town02_Route97_Weather19/compare/,,96b68a285080649f1b9b1d9a06c6ea48ef7f66f82188affa7d56f65396e47800
StaticCutIn_Town06_Route287_Weather1,base,bbox_not_verified,104,00088,,761,images/StaticCutIn_Town06_Route287_Weather1/compare/,,fdf792f4b9ccc25e9e447a54ff8b2ba0aa421eb4cc389df52cff3f15a37fcbe9
HazardAtSideLane_Town05_Route223_Weather15,base,bbox_not_verified,102,00100,,2294,images/HazardAtSideLane_Town05_Route223_Weather15/compare/,,b0221996314f59d1814af0786fdeeeb41a2a8f46bc0db86f2a4e3d2f6bbbd324
ConstructionObstacle_Town06_Route73_Weather21,base,bbox_not_verified,79,00090,,109,images/ConstructionObstacle_Town06_Route73_Weather21/compare/,,7d275ce3ee9700a152e8f86bbe72ef15441756fcf47f54c74c0dc36736ff9bee
ParkedObstacle_Town05_Route262_Weather1,base,bbox_not_verified,78,00124,,305,images/ParkedObstacle_Town05_Route262_Weather1/compare/,,4c4b00ebad3568938964f751391b69ecdb6492f0de4b19c239775843c949672c
ConstructionObstacle_Town05_Route70_Weather18,base,bbox_not_verified,74,00139,,328,images/ConstructionObstacle_Town05_Route70_Weather18/compare/,,76d654bd464b5c7def2c329c2e98c51117fa289edd6a1df46750ea3b15fa98a4
ConstructionObstacle_Town05_Route71_Weather19,base,bbox_not_verified,73,00116,,8516,images/ConstructionObstacle_Town05_Route71_Weather19/compare/,,d4dc0a81010f863589dcec17d3d898e6089bcc117e8bf9e86f1379d04133303e
ConstructionObstacle_Town05_Route68_Weather8,base,bbox_not_verified,72,00131,,272,images/ConstructionObstacle_Town05_Route68_Weather8/compare/,,c4fd94fa02066834980631bc97c171359c9c68bee7b95cad32eaec1e239c4769
SignalizedJunctionLeftTurn_Town05_Route234_Weather7,base,bbox_not_verified,45,00000,,3488,images/SignalizedJunctionLeftTurn_Town05_Route234_Weather7/compare/,,c535648cf13417d228180a3a4ce3ecd54a07f3272541ad9347b7bb4f9b949646
TJunction_Town01_Route90_Weather12,base,bbox_not_verified,45,00026,,931,images/TJunction_Town01_Route90_Weather12/compare/,,ded75cf2f37fd8165ed6d39fea9f596b7120fffba1a968750e775d3de1f9b1cc
OppositeVehicleRunningRedLight_Town05_Route268_Weather8,base,bbox_not_verified,43,00000,,3799,images/OppositeVehicleRunningRedLight_Town05_Route268_Weather8/compare/,,b0b1b8ca10fccd06329f875aefa9f8ed21f48359ef73ffcd4e7e388f90789497
OppositeVehicleRunningRedLight_Town05_Route235_Weather1,base,bbox_not_verified,39,00000,,1988,images/OppositeVehicleRunningRedLight_Town05_Route235_Weather1/compare/,,3a09a4686e7d13a3b9949cb58b8bf94628699261ab799882769b8684b970459e
